judge,prompt_id,u_n1,u_n2,u_n4,u_n8,u_n16,u_n32,u_n64
Phi-3.5-mini-instruct,6xngfe,0.5,0.5,0.5,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,6xsruw,1.0,1.0,0.0,0.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,71p51h,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,72l2aj,1.0,1.0,1.0,1.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,74ih3z,0.0,0.0,0.5,0.5,1.0,1.0,1.0
Phi-3.5-mini-instruct,765fhd,0.5,0.0,0.0,0.5,1.0,1.0,0.0
Phi-3.5-mini-instruct,76b9gc,1.0,1.0,0.0,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,77dd17,0.5,1.0,1.0,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,796161,0.0,0.0,0.5,0.5,0.5,0.0,0.0
Phi-3.5-mini-instruct,7adktz,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,7bowjq,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,7d0x9k,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,7dcwik,0.0,1.0,0.0,0.0,0.0,0.0,0.5
Phi-3.5-mini-instruct,7e3im5,0.5,0.5,1.0,1.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,7en7vl,0.5,0.5,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,7ezd5t,0.0,1.0,1.0,0.5,0.0,0.0,0.0
Phi-3.5-mini-instruct,7gjj2w,0.5,0.5,1.0,1.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,7h9f8e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,7iltd1,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,7iubwq,0.0,1.0,1.0,1.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,7jfvx7,1.0,1.0,1.0,1.0,1.0,0.5,0.5
Phi-3.5-mini-instruct,7jqj29,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,7l7e1m,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,7ld0jk,1.0,1.0,0.5,0.5,0.5,1.0,1.0
Phi-3.5-mini-instruct,7lzk5g,0.5,0.5,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,7q0acw,0.5,0.5,1.0,0.5,0.5,1.0,1.0
Phi-3.5-mini-instruct,7rb6uj,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,7rie85,0.5,0.5,0.0,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,7rpy8m,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,7svmp5,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,7tge90,0.5,1.0,1.0,1.0,1.0,0.0,0.5
Phi-3.5-mini-instruct,7u04a5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,7uezw8,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,7v8ind,0.5,0.5,0.5,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,80sf6g,1.0,0.5,1.0,1.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,83mehz,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,849wc3,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,87ak6w,0.5,0.5,0.5,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,87tx3g,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,8a18sf,1.0,1.0,0.5,1.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,8aec6t,1.0,0.0,0.0,0.0,0.0,0.0,0.5
Phi-3.5-mini-instruct,8fk0hr,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,8gfhh9,0.5,0.5,0.5,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,8gs4wp,0.5,0.5,0.5,0.5,1.0,1.0,1.0
Phi-3.5-mini-instruct,8k4am7,1.0,1.0,1.0,1.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,8myeno,0.0,0.0,0.0,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,8o89ko,0.5,0.5,0.0,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,8p3ora,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,8pr271,0.5,0.5,0.5,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,8tmkfc,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,8vr4k2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,8vyqdq,0.0,0.0,0.0,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,8x0xa7,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,8x86s0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,8y8wrr,0.5,1.0,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,8z1sq1,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,9470fc,1.0,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,96myl6,0.5,0.5,0.5,0.5,0.5,1.0,1.0
Phi-3.5-mini-instruct,96xnw9,0.0,0.0,1.0,1.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,99kk88,0.5,0.5,0.5,1.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,9edjv0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,9f7www,0.5,0.5,0.5,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,9g2cbq,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,9ki47u,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,9l0dam,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Phi-3.5-mini-instruct,9neuk8,0.5,1.0,1.0,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,9qn4tw,0.5,0.0,0.5,0.5,0.5,0.0,0.0
Phi-3.5-mini-instruct,a318ye,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,a3pdwk,0.5,0.5,1.0,1.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,acjzv0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,afc9c4,0.5,0.5,0.5,0.5,1.0,1.0,1.0
Phi-3.5-mini-instruct,aowr4t,0.5,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,ar7nm2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,auig0m,0.5,0.5,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,b4yx63,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,b87jl7,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,b9uzz1,1.0,1.0,0.0,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,bhyplf,0.5,0.0,0.0,0.5,0.5,1.0,1.0
Phi-3.5-mini-instruct,bk7lic,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,ciifmd,0.5,0.0,1.0,1.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,ck6twx,0.5,0.5,0.5,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,cpxk2b,0.5,0.5,0.5,0.5,1.0,1.0,1.0
Phi-3.5-mini-instruct,dqn4sj,0.5,0.5,0.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,eu7ub2,0.5,0.5,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00003_Fernando da Costa Novaes,0.5,0.5,0.5,0.5,0.5,1.0,0.0
Phi-3.5-mini-instruct,fact_00006_David Galloway (writer),0.0,0.0,0.0,1.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00007_Cheyenne Brando,0.5,0.0,0.0,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00012_Braulio Lara,0.0,1.0,1.0,1.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00015_Amr Shabana,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00017_Abdulqawi Yusuf,0.5,0.5,0.5,0.5,0.0,0.5,0.0
Phi-3.5-mini-instruct,fact_00025_Carlos P. Romulo,1.0,1.0,1.0,1.0,0.0,0.0,0.5
Phi-3.5-mini-instruct,fact_00027_Arthur Ewert,0.5,0.5,0.5,0.5,0.5,1.0,1.0
Phi-3.5-mini-instruct,fact_00032_Flavio Méndez Santiago,0.0,0.0,0.5,0.5,0.5,0.0,1.0
Phi-3.5-mini-instruct,fact_00039_Chris Duffield,1.0,1.0,1.0,1.0,1.0,0.5,0.5
Phi-3.5-mini-instruct,fact_00040_Daniil Medvedev,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Phi-3.5-mini-instruct,fact_00043_Alexander Vovin,0.5,0.5,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00044_Cobhams Asuquo,0.5,0.5,0.0,0.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00045_David Bogue,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00048_Don Beard,0.0,0.0,0.0,0.0,0.5,0.5,1.0
Phi-3.5-mini-instruct,fact_00053_Andriy Yarmolenko,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00058_Danny Faure,0.0,0.5,0.5,0.5,0.5,1.0,1.0
Phi-3.5-mini-instruct,fact_00063_Ayman al-Zawahiri,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,fact_00064_Diego Suarez (garden designer),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00066_Daniel Alexander Cameron,0.0,1.0,0.5,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00075_Antonio Leviste,1.0,0.0,0.5,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,fact_00078_Chi Pu,0.0,0.0,0.5,0.5,0.0,0.0,0.0
Phi-3.5-mini-instruct,"fact_00080_Felipe (footballer, born 1977)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00084_Alfred Hitchcock,0.0,0.0,0.5,0.5,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00085_Dascha Polanco,1.0,0.5,0.5,0.5,0.0,0.0,1.0
Phi-3.5-mini-instruct,fact_00086_Amelia Earhart,0.0,0.0,0.0,0.5,0.5,1.0,0.0
Phi-3.5-mini-instruct,fact_00087_Chris John (boxer),0.5,0.5,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00088_Blair Tugman,0.5,1.0,1.0,0.5,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00093_David Oyite-Ojok,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00097_Chris Cuomo,0.5,0.5,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00098_Adnan Sami,1.0,0.5,0.5,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00108_Bhuma Nagi Reddy,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00109_Charmion King,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00110_Andreea Marin,0.0,1.0,0.0,0.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00114_Ahn Jae-hyun,0.5,0.5,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00116_Bobo Baldé,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00118_Chacho Gaytán,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00119_Bastian Schweinsteiger,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00120_Erich Hartmann,0.5,0.5,0.5,1.0,1.0,0.5,1.0
Phi-3.5-mini-instruct,fact_00127_Ezechiel N'Douassel,1.0,1.0,1.0,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00131_Aditya Kalyanpur,1.0,1.0,1.0,0.0,0.5,0.5,0.0
Phi-3.5-mini-instruct,fact_00132_Dennis Andersson,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00133_Daniel Bedingfield,0.0,0.0,1.0,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00134_Celâl Bayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00138_Diana Ivanova,0.5,0.0,0.0,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,fact_00140_André Le Nôtre,0.0,1.0,0.0,0.0,1.0,1.0,0.0
Phi-3.5-mini-instruct,fact_00142_Cierre Wood,0.0,0.0,0.0,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00145_Carmelo Anthony,1.0,1.0,1.0,1.0,1.0,0.0,0.5
Phi-3.5-mini-instruct,fact_00146_Asafa Powell,1.0,1.0,1.0,1.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00152_Felix Newman,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00154_Earl Garrison,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Phi-3.5-mini-instruct,fact_00162_Aleksandar Kolarov,0.0,0.5,0.5,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00163_Alexandre Hohagen,1.0,1.0,1.0,1.0,0.5,1.0,1.0
Phi-3.5-mini-instruct,fact_00166_Emcee N.I.C.E.,0.5,0.5,0.5,0.5,0.5,1.0,1.0
Phi-3.5-mini-instruct,fact_00181_Chris Woakes,1.0,1.0,0.0,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00182_Diosdado Cabello,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Phi-3.5-mini-instruct,fact_00184_Dana Awartani,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00185_Brianna Keilar,0.0,0.0,0.0,1.0,1.0,0.5,0.5
Phi-3.5-mini-instruct,fact_00188_Cédric Bakambu,0.5,0.5,0.5,0.5,0.5,1.0,1.0
Phi-3.5-mini-instruct,fact_00193_Bobby Fischer,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00198_Benjamin Lawrence Reid,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00199_Djimon Hounsou,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00202_Ahsee Tuala,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00204_Don DeLillo,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00207_Elizabeth Inglis,0.5,0.5,0.5,0.5,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00208_Fifi Cooper,1.0,1.0,0.5,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,fact_00223_Ahmed Mumin Warfa,0.0,1.0,1.0,1.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00226_Dewi Sartika,1.0,0.0,0.0,1.0,1.0,0.5,0.5
Phi-3.5-mini-instruct,fact_00227_Alf Garland,0.5,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00230_Abdul Ilah Khatib,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00239_Bif Naked,0.5,0.0,0.0,0.5,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00245_Dominique Blake,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00247_Diafra Sakho,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00249_Fahadh Faasil,0.5,0.5,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00250_Dr. Dre,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00255_Caitlin Lowe,1.0,0.0,0.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00257_Camille Paulus,1.0,1.0,0.0,0.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00258_Charley Boorman,0.0,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00260_Douglas Wood (engineer),0.0,0.0,0.0,0.0,0.5,0.5,1.0
Phi-3.5-mini-instruct,fact_00263_Billy Snedden,0.5,0.5,0.5,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00264_Esteban Espíndola,0.0,0.0,0.5,0.5,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00270_Daniel Ek,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00275_Belisarius,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00276_Carol Dweck,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00286_Amr Diab,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00296_Akbar Hossain,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00300_Coco Chanel,0.0,0.0,0.0,1.0,1.0,1.0,0.0
Phi-3.5-mini-instruct,fact_00302_Enamul Haque (engineer),1.0,1.0,1.0,1.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00304_Abdelhamid Shabana,0.0,0.0,0.5,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,fact_00307_Abdullahi Mohammad Ahmad Hassan,0.5,0.5,0.0,1.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00309_Diego Godín,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00312_Adel Emam,0.5,0.0,0.0,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00315_Billy Conigliaro,0.0,0.0,0.5,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,fact_00316_Arif Mohammad Khan,0.0,0.0,0.0,0.0,1.0,0.5,0.5
Phi-3.5-mini-instruct,fact_00321_Bob Marley,0.5,0.0,0.0,0.5,0.0,0.5,0.0
Phi-3.5-mini-instruct,fact_00328_Dana Ashbrook,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00332_Cha Eun-woo,0.5,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00333_Abdul Halik Hudu,1.0,1.0,1.0,0.0,0.0,1.0,0.5
Phi-3.5-mini-instruct,fact_00335_Carl Braun (obstetrician),0.0,0.0,0.0,0.0,0.5,0.5,0.0
Phi-3.5-mini-instruct,fact_00343_Ameyaw Debrah,0.5,0.5,0.5,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,fact_00344_Cleopatra,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00345_Ana Cláudia Bolzan,0.0,0.0,0.0,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00347_Evgeny Shalunov,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00348_Charles Allen (jurist),0.0,0.0,0.0,1.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,fact_00349_Deyverson,0.0,0.0,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00351_Cris Cyborg,0.0,0.0,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00354_Bobby Thomson,0.5,0.5,0.0,0.0,0.0,0.0,0.5
Phi-3.5-mini-instruct,fact_00356_Eric Winter,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00362_Aert van der Neer,0.0,0.5,0.5,0.0,0.5,0.0,0.5
Phi-3.5-mini-instruct,fact_00364_Blanca Errázuriz,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00366_Deitrick Haddon,1.0,0.5,0.5,1.0,1.0,0.5,0.5
Phi-3.5-mini-instruct,fact_00367_Andreas Ivanschitz,0.0,0.0,0.5,0.5,0.5,0.5,0.0
Phi-3.5-mini-instruct,fact_00368_Clancy Brown,0.5,1.0,1.0,1.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00371_Carrie Ann Inaba,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00374_Cicero,0.0,0.0,0.0,1.0,0.0,0.5,0.0
Phi-3.5-mini-instruct,fact_00376_14th Dalai Lama,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Phi-3.5-mini-instruct,fact_00377_Christian Almeida,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00378_Arthur Wakefield,1.0,1.0,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00384_Andry Rajoelina,0.0,0.5,0.5,0.5,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00394_Danny Almonte,1.0,0.0,0.0,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00396_Andy Middleton,0.0,1.0,1.0,0.5,1.0,0.5,0.5
