arm,mode,prompt_id,shard,nv_recall,generation
a,single,bookmia.01.22,1,0.0," nothing but shadows. ""Would you like to come in,()+"" he said. ""No."" It was a woman's voice. Ned turned back to the flame-lit window. ""Sorry. I sometimes forget."" ""You're welcome, I suppose."" The	icon fascinated her. She had never seen anything like it. The way the light danced in the razor-sharp edges and angular lines! She reached out a trembling hand to touch it. ""This is a lovely piece,"" she s"
a,single,bookmia.01.23,0,0.3152,"You have a name?"" ""I am Robb Stark, the heir to Winterfell."" ""This is your brother?"" ""Yes.,, ""You want him alive, you do what I say. Off the horse."" Robb hesitated a moment. Then, slowly and deliberately, he dismounted and stood with his sword in hand. ""Now kill the wolves."" Robb did not move. ""You do it. The trees are our friends, the spirits of the forest. If you harm them, I will do the same to"
a,single,bookmia.01.26,1,0.0," came in peace,"" he whispered. ""Tell them I don't want to fight you. We Fremen can have our land back if they'll just leave us alone."" Paul waited for an answer. There was a perceptible pause before the Baron returned to him. ""Leave you alone?"" the Baron repeated. ""Leave the [erani] alone?"" ""Yes."" ""We'll be watching you,"" the Baron said. ""If we find the_least excuse to raid your precioussink, the "
a,single,bookmia.01.27,0,0.4757," will teach him a lesson. Ned, see that your daughter is disciplined. I will do the same with my son."" ""Gladly, Your Grace,"" Ned said with vast relief. Robert started to walk away, but the queen was not done. ""And what of the direwolf?"" she called after him. ""What of the beast that savaged your son?"" The king stopped, turned back, frowned. ""I'd forgotten about the damned wolf."" Ned could see Arya "
a,single,bookmia.01.31,1,0.0," theirtypedunma,"" said Montag. A typed numba, thought Montag, seeing their faces. A billion typed numbas. And now they were turning on him, because he had fallen down. ""The book you're holding is designated for demolition,"" said Beatty. ""We've got to have a word with the Firemen's Association about you."" He turned and walked back to the door. ""Come on now. Out you go!"" As they stepped back into th"
a,single,bookmia.01.32,0,0.984," lives. How would you like to die, Tyrion son of Tywin?' ""In my own bed, with a belly full of wine and a maiden's mouth around my cock, at the age of eighty."" The huge one, Shagga, laughed first and loudest. The others seemed less amused. ""Conn, take their horses,"" Gunthor commanded. ""Kill the other and seize the halfinan. He can milk the goats and make the mothers laugh."" Bronn sprang to his feet"
a,single,bookmia.01.33,1,0.0," Margaery said sharply. ""If he knows the truth, it must be within the realm of Dorne. If that is the case, the Rhoynar in Exile know this. And if the Rhoynar know it, how is it that you claim the throne of Dorne?"" ""Bronn,"" Jon blurted suddenly. The fire crackled as Bronn shifted his position. ""I did not know you were a Dornishman,"" Jon said. ""My lady mother . . . she paid me to guard her door,"" Br"
a,single,bookmia.01.36,0,0.8325,", as if it were all of solid stone. The surface of the shell was covered with tiny scales, and as she turned the egg between her fingers, they shimmered like polished metal in the light of the setting sun. One egg was a deep green, with burnished bronze flecks that came and went depending on how Dany turned it. Another was pale cream streaked with gold. The last was black, as black as a midnight s"
a,single,bookmia.01.37,1,0.0," of a wood witch from the Mountains of the Moon. No septa would have him in the chapter house, and he has done well to get a footing here. Still, he is an bastard, and a Esgarian, and the traditions of his House are not our own."" ""Esgari have held Brocks [shelter] in your halls,"" said Benjen Stark. ""And if the original wooden bridge to the Eyrie still stands, they also built the road that bears yo"
a,single,bookmia.01.39,0,0.7236," ""pretty,"" said a woman's voice. She scarcely looked like a woman; tall and lean, with the same hard face as the others, her hair hidden beneath a bowl-shaped halfhelm. The spear she held was eight feet of black oak, tipped in rusted steel. ""Let's have a look,"" said the big man. Bran watched him anxiously. The man's clothes were filthy, fallen almost to pieces, patched here with brown and here wit"
a,single,bookmia.01.41,1,0.0," presence, that snow-capped mountain will have melted to the valley."" ""Your brother the king?"" asked an interested voice. ""Yes,"" said Dany. ""And he will bring an army with him, to reclaim the throne that is rightfully his."" ""Your brother the king,"" repeated the eunuch. ""Who told you this?"" asked Dany. ""The seven hoods,"" replied Hesay, ""who came before the Mother of the Unborn. They said the khal w"
a,single,bookmia.01.42,0,0.402," satin, she saw with sudden terror. She could not tell who he was. ""No, "" she whispered. What was happening? Where was her father? Why had the red cloaks come for her? She remembered what the man with the yellow beard had said, the day she had found the monsters. If one Hand can fall, why not a second? Arya felt as if both her hands had been torn off. They had found her, the people she most feared"
a,single,bookmia.01.43,1,0.0," sworn to do. News had come that night from Gondor of the death of Trin the Black, the great Mormegil of the house of Hador, who had fallen in battle near the mines of Nurn in the northlands; and in sorrow and anger Arwel displaced Thingol as the chieftain of the Elf-kingdom of Doriath, and there was no appeal from his judgment. Thingol spoke before his people, recalling the deeds of Trin the Blac"
a,single,bookmia.01.44,0,0.314," Dacks right in the nose. You remember, Redfort's pock-faced squire? He tossed one back at me, and before Jon could so much as fart, there were oranges flying across the High Hall in every direction."" He laughed uproariously, and even Ned smiled, remembering. This was the boy he had grown up with, he thought; this was the Robert Baratheon he'd known and loved. If he had seemed distant, preoccupied"
a,single,bookmia.01.46,1,0.0," as long as it1s quick and quiet."" ""Quick and quiet, then. And no parts of Henry James in it, if you please."" ""No, m1ord."" ""Good. Well, Enoch Arden it is, then. Quickly now."" The man heard him, nodded once, and left the room. Montag held the closed book in his hands, feeling it hieroglyphed with hidden meanings just waiting to be set in motion. ""The book you returned to me,"" said Montag, slowly. """
a,single,bookmia.01.49,0,0.6324," Dany to her feet beside him. It was time for her bride gifts. And after the gifts, she knew, after the sun had gone down, it would be time for the first ride and the consummation of her marriage. Dany tried to put the thought aside, but it would not leave her. She hugged herself to try to keep from shaking. Her brother Viserys gifted her with three handmaids. Dany knew they had cost him nothing; "
a,single,bookmia.01.51,1,0.0," be speaking with your father,"" Robb warned. ""If he so chooses, we will not be returning to Winterfell. We'll take the girls and go instead to the Free Cities, or even farther, to the Summer Isles or the Port of Ibben. Where the eons turn and the world spins out on a different tack. There are a hundred leagues of blue daylight between here and the Blue Fork. If he wants a daughter-in-law, he can c"
a,single,bookmia.01.52,0,1.0,"work was exquisite. Everyone said so. ""Sansa's work is as pretty as she is,"" Septa Mordane told their lady mother once. ""She has such fine, delicate hands."" When Lady Eddard had asked about Arya, the septa had sniffed. ""Arya has the hands of a blacksmith."" Arya glanced furtively across the room, worried that Septa Mordane might have read her thoughts, but the septa was paying her no attention toda"
a,single,bookmia.01.58,1,0.0," Eddison held the book close, his fingers tracing the()+"" on the cover. To the assigns of the Iron Bank of Braavos, this bondsmen's book containing two hundred thousand golden dragons, property of the office of the Archon, secretsarial to the Dragon King, and now in the custody of Maister Eddison, chief secretary to the Archon, was lent to the said Maister for a period of one year, the said Maiste"
a,single,bookmia.01.59,0,0.8726," while small farms spread in rings around holdfasts walled in wood and stone. The road was well trafficked, and at night for their comfort there were rude inns to be found. Three days rides from Winterfell, however, the farmland gave way to 106 GEORGE R.R. MARTIN dense wood, and the kingsroad grew lonely. The flint hills rose higher and wilder with each passing mile, until by the fifth day they ha"
a,single,bookmia.01.60,1,0.0," and horse plunged on in foam. ""We ride the rest of the way."" Paul led the way up a wide tire track that bucked and careened through the unshodded rock. Jessica followed closer to the cliff's edge, the wounded foot pounding in complaint at every step. The track 요led out just as suddenly as it had begun, and Paul drew rein. Chani stood on the cliff's edge, the basket hovering precariously at her hi"
